Offset Credits Cost Adjustment,Emission Reduction Cost Adjustment,Reforestation Cost Adjustment,T15Year,T15CO2,T15ForestSize,T20Year,T20CO2,T20ForestSize,ForestSize2050,CO2Concentration2050,Temperature2050,ForestSize2100,CO2Concentration2100,Temperature2100
1.0,0.3,1.0,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.15,0.2,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.55,0.45,2031.0,443.01707,41175777.38328,2050.0,483.01377,43248066.69063,43363040.04981,484.37184,2.01624,52718439.1338,440.96507,1.47608
1.0,0.5,0.4,2031.0,443.01543,40679043.07359,2049.0,483.01203,41987126.28024,42083478.20059,484.79865,2.02134,48053313.48516,444.82806,1.52626
1.0,0.9,0.1,2031.0,443.01401,43388255.68446,2047.0,482.99943,49594425.5976,51362451.72763,491.16373,2.09698,89390307.87306,540.54829,2.65075
1.0,0.9,0.6,2031.0,443.01734,42213915.74186,2049.0,483.01088,46671246.52772,47134282.04838,485.65085,2.03152,70323883.91436,465.89681,1.79282
1.0,0.5,0.3,2031.0,443.01805,41375721.63058,2050.0,483.01537,43992045.58019,44112429.73483,484.11313,2.01314,56466711.05962,439.54468,1.45753
1.0,0.45,1.0,2031.0,443.01731,39806253.80441,2049.0,483.01027,38909658.80352,38832841.58993,485.6548,2.03157,36643798.35232,457.09348,1.68285
1.0,0.6,0.1,2031.0,443.01634,43286926.05755,2047.0,483.00266,49461162.73144,50873592.54183,489.2756,2.07464,84952978.89555,481.06346,1.97822
1.0,0.85,0.05,2031.0,443.01525,43468871.56684,2047.0,482.99878,49827088.03437,51637755.50454,491.16002,2.09693,90651827.98089,547.57388,2.7253
1.0,1.0,0.55,2031.0,443.01707,42561808.75501,2048.0,483.00706,47458418.23131,48235677.77151,487.18278,2.04978,74202834.13855,479.98526,1.96459
1.0,0.4,0.45,2031.0,443.017,39806253.80441,2049.0,483.01094,38909561.63365,38832841.58993,485.65165,2.03153,36643798.35232,457.0534,1.68235
1.0,0.15,0.35,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.3,0.55,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.6,0.6,2031.0,443.01567,40898076.832,2049.0,483.01249,42447151.91777,42577360.84109,485.02789,2.02408,50448242.20806,446.72793,1.55084
1.0,0.9,0.25,2031.0,443.01569,42991045.21991,2047.0,483.00098,48527675.21813,49871781.74759,489.76677,2.08046,81653723.06965,484.23019,2.01586
1.0,0.05,0.95,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.8,0.95,2031.0,443.01633,41284157.05351,2049.0,483.01006,43576107.02179,43820767.32981,485.64688,2.03148,56984172.97565,461.56288,1.73898
1.0,0.25,0.05,2031.0,443.01593,41998972.84758,2048.0,483.0033,45778991.71808,46639578.72232,488.96909,2.071,69121354.1268,478.02192,1.94164
1.0,0.15,0.75,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.3,0.15,2031.0,443.0167,40417988.95298,2049.0,483.01111,40937695.00954,40999508.20251,485.30685,2.02742,44522531.22698,450.55034,1.5999
1.0,0.3,0.6,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.4,0.05,2031.0,443.01594,42821576.0827,2047.0,483.00178,48208166.9142,49470755.11989,489.29144,2.07483,81195872.2767,499.03738,2.1895
1.0,1.0,0.15,2031.0,443.01405,43302647.23792,2047.0,482.99661,49318960.88929,51122876.48343,491.59948,2.10212,88010886.22959,537.70743,2.62033
1.0,0.85,0.45,2031.0,443.01785,42520703.35182,2049.0,483.01234,47595467.40075,47985534.71056,484.96055,2.02327,73682961.29156,460.20158,1.72194
1.0,0.3,0.1,2031.0,443.01798,41084406.09374,2050.0,483.01399,43294156.31394,43446298.14323,484.47893,2.01752,56946601.20185,443.1812,1.50495
1.0,0.9,1.0,2031.0,443.01639,41559630.55028,2049.0,483.00896,44525245.60584,44907513.9346,486.19433,2.03801,61324738.50342,469.02769,1.83142
1.0,0.25,0.45,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.95,0.2,2031.0,443.01409,43038451.06812,2047.0,483.00085,48631158.93373,50083694.57698,490.3126,2.08692,83752815.16904,518.40659,2.40931
1.0,0.95,0.5,2031.0,443.01676,42599640.53918,2049.0,483.01112,47731444.86403,48245213.1118,485.59678,2.03087,74087511.54575,472.10452,1.86903
1.0,0.9,0.65,2031.0,443.01711,42173511.25116,2049.0,483.01093,46445724.90882,46915820.41468,485.7639,2.03287,69238381.06706,465.78564,1.79145
1.0,0.35,0.5,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.65141,2.03153,36643798.35232,457.05035,1.68231
1.0,0.15,0.3,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.3,0.65,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.15,0.05,2031.0,443.01495,40946080.32883,2047.0,482.99983,42808411.71641,43333921.36944,489.84788,2.08142,55835577.95099,471.26624,1.85965
1.0,0.4,0.75,2031.0,443.017,39806253.80441,2049.0,483.01094,38909561.63365,38832841.58993,485.65165,2.03153,36643798.35232,457.0534,1.68235
1.0,0.75,0.9,2031.0,443.01538,41105292.20892,2049.0,483.01017,43086899.9782,43312570.04795,485.78215,2.03309,54240945.75476,460.84604,1.73004
1.0,1.0,0.65,2031.0,443.01559,42237549.49175,2049.0,483.00776,46640212.41977,47253841.89994,486.59608,2.04279,71245681.5296,481.21081,1.97923
1.0,0.35,0.2,2031.0,443.01555,40543134.39581,2049.0,483.01182,41228240.62088,41288660.00771,485.04176,2.02425,45387176.705,448.29022,1.57092
1.0,0.4,0.9,2031.0,443.017,39806253.80441,2049.0,483.01094,38909561.63365,38832841.58993,485.65165,2.03153,36643798.35232,457.0534,1.68235
1.0,0.85,0.35,2031.0,443.01687,42647133.84886,2049.0,483.01324,48128146.90641,48535017.75571,484.86696,2.02215,76282871.58834,460.79211,1.72929
1.0,0.15,0.4,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.35,0.95,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.65141,2.03153,36643798.35232,457.05035,1.68231
